,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_x,stop_y
43,CLENORS,1135,CLEVELAND AVE & E NORTH BROADWAY,,40.029236,-82.964277,,,,,,0,1127650.9297170006,385612.7020799095
44,CLEWELS,1136,CLEVELAND AVE & WELDON AVE,,40.027433,-82.964417,,,,,,0,1127642.655518818,385412.8393494942
45,CLELAKS,1137,CLEVELAND AVE & E LAKEVIEW AVE,,40.025441,-82.964577,,,,,,0,1127633.0575351233,385192.0182038959
46,CLEWEBS,1139,CLEVELAND AVE & E WEBER RD,,40.02293,-82.964823,,,,,,0,1127617.1655266818,384913.59454344166
47,CLEABES,1140,CLEVELAND AVE & ABERDEEN AVE,,40.02034,-82.965028,,,,,,0,1127604.9427487697,384626.4898687111
48,CLEGENS,1141,CLEVELAND AVE & GENESSEE AVE,,40.019214,-82.965118,,,,,,0,1127599.5534383382,384501.67038994934
49,CLEHUDS,1143,CLEVELAND AVE & E HUDSON ST,,40.013425,-82.967624,,,,,,0,1127396.9614173537,383856.7105570312
50,CLECORS,1144,CLEVELAND AVE & CORDELL AVE,,40.010981,-82.969128,,,,,,0,1127273.2440998198,383583.7187372197
51,CLEMAYS,1145,CLEVELAND AVE & E MAYNARD AVE,,40.009574,-82.969991,,,,,,0,1127202.2595743688,383426.56456662517
52,CLE26TS,1146,CLEVELAND AVE & E 26TH AVE,,40.007815,-82.971065,,,,,,0,1127113.9312718047,383230.103228759
53,CLE24TS,1147,CLEVELAND AVE & E 24TH AVE,,40.006441,-82.971912,,,,,,0,1127044.2412664846,383076.6306705179
54,CLE22NS,1148,CLEVELAND AVE & E 22ND AVE,,40.004542,-82.97307,,,,,,0,1126948.999257006,382864.53854333947
55,CLE18TS,1150,CLEVELAND AVE & E 18TH AVE,,40.001395,-82.975098,,,,,,0,1126781.8230966262,382512.8944948164
56,CLE17TS,1151,CLEVELAND AVE & E 17TH AVE,,39.99993,-82.976077,,,,,,0,1126701.0033980028,382349.1431671886
57,CLE15TS,1152,CLEVELAND AVE & E 15TH AVE,,39.998827,-82.976748,,,,,,0,1126645.8093613929,382225.95964226476
58,CLECHIS,1154,CLEVELAND AVE & CHITTENDEN AVE,,39.995158,-82.980264,,,,,,0,1126352.2714953222,381814.18966837926
59,CLE11TS,1155,CLEVELAND AVE & E 11TH AVE,,39.993929,-82.981548,,,,,,0,1126244.840937671,381676.0961073957
60,CLECAMS,1157,CLEVELAND AVE & CAMDEN AVE,,39.990797,-82.984812,,,,,,0,1125971.7425302162,381324.19827487925
61,CLEESSS,1158,CLEVELAND AVE & ESSEX AVE,,39.98779,-82.987898,,,,,,0,1125713.6038634842,380986.43145557423
62,CLE2NDS,1162,CLEVELAND AVE & 2ND AVE,CLEVELAND AVE & REYNOLDS AVE,39.981173,-82.989635,,,,,,0,1125578.2428805884,380251.08680748113
63,CLE427S,1163,427 CLEVELAND AVE,,39.972679,-82.990338,,,,,,0,1125535.1929174715,379309.5508453136
64,CLEMOUS,1166,CLEVELAND AVE & MOUNT VERNON AVE,,39.969412,-82.990554,,,,,,0,1125523.2889067903,378947.5016786506
65,BRODOUE,1167,E BROAD ST & S DOUGLAS ST,,39.964733,-82.977962,,,,,,0,1126611.2997249896,378449.2111364801
66,BROMAPE,1168,E BROAD ST & MAPLEWOOD AVE,,39.973168,-82.901904,,,,,,0,1133107.9087344992,379505.970925436
67,BROCOLE,1169,E BROAD ST & COLLINGWOOD AVE,,39.973432,-82.899294,,,,,,0,1133330.8669633595,379539.52541136905
68,BROHOLE,1170,E BROAD ST & HOLIDAY LANES,,39.975546,-82.879085,,,,,,0,1135056.9920702954,379807.3154731394
69,BROCARE,1171,E BROAD ST & CARDINAL PARK DR,,39.977563,-82.860342,,,,,,0,1136657.6640130104,380062.3062970351
70,BROCARW,1172,E BROAD ST & CARDINAL PARK DR,RAMP & E BROAD ST,39.977818,-82.859826,,,,,,0,1136701.2907830474,380091.4159465997
71,HAMETNN,1174,S HAMILTON RD & ETNA RD,,39.964279,-82.875928,,,,,,0,1135351.8740194628,378565.21497446194
72,HIGRUSN,1178,N HIGH ST & E RUSSELL ST,,39.975825,-83.003188,,,,,,0,1124428.3699952485,379637.88797033485
73,HIG2NDN,1182,N HIGH ST & E 2ND AVE,,39.983318,-83.004658,,,,,,0,1124287.4985603625,380465.2292176561
74,HIG5THN,1184,N HIGH ST & E 5TH AVE,,39.987609,-83.005524,,,,,,0,1124204.7693472507,380938.9895560858
75,HIG6THN,1185,N HIGH ST & E 6TH AVE,,39.989174,-83.005819,,,,,,0,1124176.3839017046,381111.8112333368
76,HIGEUCN,1186,N HIGH ST & EUCLID AVE,,39.991224,-83.006225,,,,,,0,1124137.5273305825,381338.16169334843
77,HIGCHIN,1188,N HIGH ST & CHITTENDEN AVE,,39.99602,-83.007178,,,,,,0,1124046.3604310069,381867.71037964616
78,HIG13TN,1189,N HIGH ST & E 13TH AVE,,39.997729,-83.007506,,,,,,0,1124014.8694420017,382056.4282294059
79,HIG15TN,1190,N HIGH ST & E 15TH AVE,,40.000285,-83.007989,,,,,,0,1123968.4212493477,382338.68974830804
80,HIGWOON,1192,N HIGH ST & W WOODRUFF AVE,,40.003566,-83.008642,,,,,,0,1123905.9783854876,382700.96507199423
81,HIGLANN,1193,N HIGH ST & E LANE AVE,,40.006365,-83.00921,,,,,,0,1123851.7778336203,383010.00500152446
82,HIGNORN,1194,N HIGH ST & E NORTHWOOD AVE,,40.007789,-83.00949,,,,,,0,1123824.9727500519,383167.24457261176
83,HIGPATN,1195,N HIGH ST & PATTERSON AVE,,40.009907,-83.010044,,,,,,0,1123773.3335546826,383400.90543596924
84,HIGBLAN,1196,N HIGH ST & E BLAKE AVE,,40.011654,-83.0105,,,,,,0,1123730.824203613,383593.6394267519
85,HIGHUDN,1197,N HIGH ST & E HUDSON ST,,40.01426,-83.011194,,,,,,0,1123666.237255731,383881.1210596141
86,HIGDODN,1198,N HIGH ST & E DODRIDGE ST,,40.016549,-83.011808,,,,,,0,1123609.1326369273,384133.6274852677
87,HIGOLEN,1200,N HIGH ST & OLENTANGY ST,,40.019489,-83.012549,,,,,,0,1123539.8685455734,384458.022974084
88,HIGKELN,1201,N HIGH ST & E KELSO RD,,40.021572,-83.0131,,,,,,0,1123488.5733935863,384687.8197260521
89,HIGWEBN,1202,N HIGH ST & E WEBER RD,,40.024318,-83.013843,,,,,,0,1123419.5338874713,384990.7349849695
90,HIGPACN,1203,N HIGH ST & E PACEMONT RD,,40.026515,-83.014402,,,,,,0,1123367.3350952873,385233.14516949607
91,HIGCOMN,1204,N HIGH ST & E COMO AVE,,40.028486,-83.014928,,,,,,0,1123318.4120665325,385450.5827148849
92,HIGNORN1,1206,N HIGH ST & E NORTH BROADWAY,,40.031894,-83.01582,,,,,,0,1123235.323981,385826.577113737
93,HIGTORN,1208,N HIGH ST & E TORRENCE RD,,40.03504,-83.016675,,,,,,0,1123155.9294001006,386173.6202513481
94,HIGGLENN,1209,N HIGH ST & GLENCOE RD,,40.037462,-83.017317,,,,,,0,1123096.2002521958,386440.82386642613
95,HIGFALN,1210,N HIGH ST & FALLIS RD,,40.039262,-83.017799,,,,,,0,1123051.3961014864,386639.3998140193
96,HIGACTN,1211,N HIGH ST & ACTON RD,,40.041043,-83.018284,,,,,,0,1123006.37530904,386835.868179573
97,HIGGLEN,1213,N HIGH ST & GLENMONT AVE,,40.044801,-83.0193,,,,,,0,1122912.0177754895,387250.44051804265
98,HIGINDN,1215,N HIGH ST & INDIAN SPRINGS DR,,40.047648,-83.020074,,,,,,0,1122840.173608228,387564.5098422696
99,HIGCOON,1216,N HIGH ST & E COOKE RD,,40.050206,-83.020081,,,,,,0,1122834.5143637348,387847.75157971855
100,HIGSCHN,1217,N HIGH ST & E SCHREYER PL,,40.05243,-83.019959,,,,,,0,1122840.5498712508,388094.20694894774
101,HIGWEIN,1218,N HIGH ST & E WEISHEIMER RD,,40.055285,-83.019802,,,,,,0,1122848.3296681163,388410.589309781
102,HIGBEAN,1219,N HIGH ST & E BEAUMONT RD,,40.057521,-83.019665,,,,,,0,1122855.6225981063,388658.39849553956
103,HIGMORN,1222,N HIGH ST & MORSE RD,N HIGH ST & LELAND AVE,40.06335,-83.019332,,,,,,0,1122872.5656489984,389304.3765586704
104,HIG522N,1224,5220 N HIGH ST,,40.068606,-83.019063,,,,,,0,1122885.1648942863,389886.8115286253
105,HIGKANN,1225,N HIGH ST & E KANAWHA AVE,,40.070938,-83.018945,,,,,,0,1122890.6381842329,390145.2278263066
106,HIGMEAN,1227,N HIGH ST & MEADOWLARK LN,,40.07339,-83.018818,,,,,,0,1122896.6426387713,390416.947259953
107,HIGSELN,1229,N HIGH ST & E SELBY BLVD,,40.077079,-83.018629,,,,,,0,1122905.4976389061,390825.7443004303
108,HIGSOUTN,1230,N HIGH ST & E SOUTHINGTON AVE,,40.080403,-83.018454,,,,,,0,1122913.8766642963,391194.10314741626
109,HIGSOUN,1232,HIGH ST & E SOUTH ST,,40.084195,-83.018254,,,,,,0,1122923.464269009,391614.32782635384
110,HIGNEWN,1233,HIGH ST & NEW ENGLAND AVE,,40.086581,-83.018122,,,,,,0,1122930.0221521354,391878.75212079124
111,HIG161N,1234,N HIGH ST & STATE ROUTE 161,,40.088592,-83.017994,,,,,,0,1122936.980195699,392101.6441188386
112,HIGSTAFN,1235,HIGH ST & STAFFORD AVE,,40.090752,-83.01787,,,,,,0,1122943.30034924,392341.03094767954
113,HIGNORN3,1236,HIGH ST & E NORTH ST,,40.092811,-83.017755,,,,,,0,1122949.050584343,392569.2201274355
114,HIGLARN,1238,N HIGH ST & LARRIMER AVE,,40.099024,-83.01732,,,,,,0,1122973.918274326,393257.9167108496
115,HIGHALN,1240,N HIGH ST & HALLIGAN AVE,,40.103554,-83.017036,,,,,,0,1122989.210464314,393760.0104149239
116,NORWILSS,1243,NORTHWEST BLVD & WILSHIRE DR,,40.009723,-83.058083,,,,,,0,1119661.859842912,383307.7874151629
117,HARLAUS,1244,HARRISBURG PIKE & LAUREL AVE,,39.934689,-83.045082,,,,,,0,1120920.5046953086,375019.5896621393
118,BRO1STS,1249,BROADWAY & 1ST AVE,,39.899425,-83.079517,,,,,,0,1118036.3652578252,371064.3808309374
119,HIGSTAS,1251,S HIGH ST & W STATE ST,,39.960285,-83.000381,,,,,,0,1124699.9212007974,377921.70289953717
120,HIGWORS,1252,N HIGH ST & WORTHINGTON GALENA RD,,40.095437,-83.017751,,,,,,0,1122944.1887020427,392860.0301241311
121,HIGNORTS,1253,N HIGH ST & W NORTH ST,,40.092656,-83.017952,,,,,,0,1122932.5183278495,392551.7541174196
122,HIGSTAFS,1254,HIGH ST & STAFFORD AVE,,40.091242,-83.018032,,,,,,0,1122928.481476411,392395.04561925563
123,HIG161S,1255,N HIGH ST & STATE ROUTE 161,,40.08914,-83.018156,,,,,,0,1122922.046025521,392162.0814919579
124,HIGNEWS,1256,HIGH ST & NEW ENGLAND AVE,,40.086901,-83.018295,,,,,,0,1122914.5989162636,391913.9240053145
125,HIGSOUS,1257,N HIGH ST & W SOUTH ST,,40.084588,-83.018448,,,,,,0,1122906.1006373067,391657.551386095
126,HIGSOUTS,1259,N HIGH ST & W SOUTHINGTON AVE,,40.080338,-83.018668,,,,,,0,1122895.709213874,391186.5779771849
127,HIGSELS,1260,N HIGH ST & W SELBY BLVD,,40.076818,-83.018842,,,,,,0,1122887.8027888513,390796.51624664816
128,HIGBROAS,1262,N HIGH ST & BROADMEADOWS BLVD,,40.073281,-83.019023,,,,,,0,1122879.3297504564,390404.5635733764
129,HIGKANS,1263,N HIGH ST & W KANAWHA AVE,,40.071322,-83.019137,,,,,,0,1122873.460232256,390187.4569475186
130,HIGFENS,1264,N HIGH ST & FENWAY RD,,40.067701,-83.019307,,,,,,0,1122866.0912406407,389786.2228914142
131,HIG521S,1265,5211 N HIGH ST,,40.068938,-83.019253,,,,,,0,1122868.260347758,389923.2853021878
132,HIGGRA2S,1266,N HIGH ST & GRACELAND BLVD 2,,40.064672,-83.019459,,,,,,0,1122859.0881620767,389450.5737749778
133,HIGJEFS,1268,N HIGH ST & E JEFFREY PL,,40.061622,-83.019633,,,,,,0,1122850.2438582468,389112.5673034616
134,HIGBEES,1270,N HIGH ST & W BEECHWOLD BLVD,,40.058736,-83.019785,,,,,,0,1122842.9551270718,388792.7565119439
135,HIGSHES,1271,N HIGH ST & SHEFFIELD RD,,40.056126,-83.019942,,,,,,0,1122834.691443278,388503.5020043083
136,HIGHENS,1273,N HIGH ST & W HENDERSON RD,,40.05161,-83.0202,,,,,,0,1122821.5580774567,388003.03796761704
137,HIGCOOS,1274,N HIGH ST & W COOKE RD,,40.049481,-83.020322,,,,,,0,1122815.3337813958,387767.1024988849
138,HIGWESS,1275,N HIGH ST & WESTWOOD RD,,40.046871,-83.020053,,,,,,0,1122843.5071291167,387478.5034175258
139,HIGBLES,1276,N HIGH ST & BLENHEIM RD,,40.044104,-83.019309,,,,,,0,1122912.6274650558,387173.2471460175
140,HIGCHAS,1277,N HIGH ST & CHATHAM RD,,40.042096,-83.018767,,,,,,0,1122962.9694718006,386951.728485179
141,HIGAMAS,1278,N HIGH ST & AMAZON PL,,40.0403,-83.018287,,,,,,0,1123007.590340489,386753.5908832621
142,HIGNORMS,1279,N HIGH ST & NORTHMOOR PL,,40.036224,-83.017185,,,,,,0,1123109.9475547236,386303.94266829465
143,HIGKENS,1280,N HIGH ST & W KENWORTH RD,,40.032893,-83.016325,,,,,,0,1123190.133288278,385936.4211197208
144,HIGNORS,1281,N HIGH ST & W NORTH BROADWAY ST,,40.030851,-83.015793,,,,,,0,1123239.7036323738,385711.1285327078
145,HIGLAKS,1283,N HIGH ST & W LAKEVIEW AVE,,40.027295,-83.01485,,,,,,0,1123327.4509763904,385318.8253637275
146,HIGWEBS,1284,N HIGH ST & W WEBER RD,,40.024689,-83.014164,,,,,,0,1123391.3279171183,385031.3219996091
147,HIGCRES,1285,N HIGH ST & CRESTVIEW RD,,40.022585,-83.013612,,,,,,0,1123442.7449878918,384799.1995939142
148,HIGOLES,1286,N HIGH ST & OLENTANGY ST,,40.019816,-83.01288,,,,,,0,1123510.8914749767,384493.72183540976
149,HIGDODS,1287,N HIGH ST & W DODRIDGE ST,,40.016273,-83.011874,,,,,,0,1123604.0331925205,384102.965676607
150,HIGHUDS,1288,N HIGH ST & W HUDSON ST,,40.014079,-83.011307,,,,,,0,1123656.9261487573,383860.905924652
151,HIGMAYS,1290,N HIGH ST & W MAYNARD AVE,,40.01139,-83.010561,,,,,,0,1123726.12886865,383564.3141715772
152,HIGOAKS,1291,N HIGH ST & W OAKLAND AVE,,40.009249,-83.010043,,,,,,0,1123774.729872917,383328.0502757939
153,HIGNORWS,1292,N HIGH ST & W NORTHWOOD AVE,,40.007766,-83.009657,,,,,,0,1123810.7240468734,383164.44066911435
154,HIG15TS,1295,N HIGH ST & E 15TH AVE,0 N HIGH ST & E 15TH AVE,40.000207,-83.008175,,,,,,0,1123952.6540502522,382329.7665319508
155,HIG13TS,1296,N HIGH ST & E 13TH AVE,,39.998105,-83.00777,,,,,,0,1123991.518302703,382097.65251611685
156,HIGCHIS,1297,N HIGH ST & CHITTENDEN AVE,,39.995901,-83.007325,,,,,,0,1124034.0129295636,381854.30762983253
157,HIG10TS,1298,N HIGH ST & W 10TH AVE,,39.993781,-83.006902,,,,,,0,1124074.4590149869,381620.2305477174
158,HIGCLAS,1301,N HIGH ST & CLARK PL,,39.988966,-83.005955,,,,,,0,1124165.1548585102,381088.571264338
159,HIG5THS,1302,N HIGH ST & W 5TH AVE,,39.986763,-83.005527,,,,,,0,1124206.2028935305,380845.31563280325
160,HIG4THS,1303,N HIGH ST & W 4TH AVE,,39.98496,-83.005203,,,,,,0,1124237.54877709,380646.1882888195
161,HIGHUBS,1306,N HIGH ST & W HUBBARD AVE,,39.978538,-83.003938,,,,,,0,1124358.713292792,379937.1060041243
162,HIGRUSS,1308,N HIGH ST & W RUSSELL ST,,39.975286,-83.00323,,,,,,0,1124425.8517954578,379578.1459657486
163,COLRICW,1309,COLUMBUS ST & RICHARD AVE,,39.88154,-83.080869,,,,,,0,1117954.3107551713,369082.45681681903
164,BRO1STN,1312,BROADWAY & 1ST AVE,,39.899293,-83.079356,,,,,,0,1118050.420746041,371050.0041373663
165,HARBLUN,1313,HARRISBURG PIKE & BLUE ROCK BLVD,,39.910849,-83.069464,,,,,,0,1118876.5570522875,372343.9074144679
166,NEICOLN,1318,NEIL AVE & COLLINS AVE,,39.976196,-83.010772,,,,,,0,1123778.137826871,379667.25499814807
167,3RDNORW,1329,W 3RD AVE & NORTON AVE,,39.984595,-83.0319,,,,,,0,1121952.2644959344,380564.8912174696
168,3RDOXLW,1330,W 3RD AVE & OXLEY RD,,39.984727,-83.034929,,,,,,0,1121692.637678345,380574.915600411
169,GOO868W,1332,868 W GOODALE BLVD,,39.974396,-83.027015,,,,,,0,1122390.635626873,379443.0893453624
170,NORTHONW,1333,NORTHWEST BLVD & THORNWOOD PL,,39.986967,-83.04082,,,,,,0,1121183.834471544,380814.0299058923
171,NOR5THN,1334,NORTHWEST BLVD & W 5TH AVE,,39.988911,-83.040689,,,,,,0,1121191.2611700867,381029.4694320741
172,HIGHALS,1336,N HIGH ST & HALLIGAN AVE,,40.103119,-83.017269,,,,,,0,1122970.1596207488,393711.48119549244
173,NORGLENW,1341,NORTHWEST BLVD & GLENN AVE,,39.998608,-83.052666,,,,,,0,1120147.0116801998,382085.16449235345
174,NORBARNW,1342,NORTHWEST BLVD & BARRINGTON RD,,39.999801,-83.054031,,,,,,0,1120027.8506513638,382215.2184360676
175,NORGUINW,1343,NORTHWEST BLVD & GUILFORD RD,,40.001613,-83.055291,,,,,,0,1119916.4882836319,382413.96952806495
176,NORBRANW,1344,NORTHWEST BLVD & BRANDON RD,,40.003121,-83.057064,,,,,,0,1119761.8037465261,382578.2983177779
177,MAI5THE,1347,E MAIN ST & S 5TH ST,,39.956876,-82.992364,,,,,,0,1125393.5399331327,377556.7487369097
178,GRESURE,1356,GREENWAY AVE & SURREY PL,GREENWAY AVE S & SURREY PL,39.97304,-82.952285,,,,,,0,1128793.44151174,379409.72110432934
179,NELAVAN,1358,N NELSON RD & AVALON PL,,39.982398,-82.94266,,,,,,0,1129598.2433951644,380461.28089943295
180,NELOPPN,1360,N NELSON RD & MARGARET AVE,,39.984798,-82.941564,,,,,,0,1129687.0865517876,380728.7716207579
181,NELAVAS,1363,N NELSON RD & AVALON PL,,39.981882,-82.94307,,,,,,0,1129564.2106522708,380403.4896163272
182,HIGLARS,1379,N HIGH ST & LARRIMER AVE,,40.098805,-83.017529,,,,,,0,1122956.488999536,393233.34467825026
183,5TH220W,1382,2200 W 5TH AVE,,39.989715,-83.065637,,,,,,0,1119053.603118756,381081.2065181361
184,5TH2200E,1384,2200 W 5TH AVE,,39.989582,-83.065361,,,,,,0,1119077.48956504,381066.8893122184
185,HIGSTEN,1385,S HIGH ST & STEWART AVE,,39.941826,-82.99657,,,,,,0,1125063.4850465916,375883.96729433234
186,3RDNWBE,1395,W 3RD AVE & NORTHWEST BLVD,,39.984792,-83.038561,,,,,,0,1121381.5088562795,380576.620718225
187,3RDOXLE,1397,W 3RD AVE & OXLEY RD,,39.984633,-83.034702,,,,,,0,1121712.259334716,380564.85157711676
188,NEICOLS,1408,NEIL AVE & COLLINS AVE,0 NEIL AVE & W POPLAR AVE,39.976133,-83.010902,,,,,,0,1123767.1301005478,379660.07956625614
189,NEIGOOS,1409,NEIL AVE & W GOODALE ST,,39.974442,-83.010669,,,,,,0,1123790.4509246114,379473.21403802966
190,4TH803N,1416,803 N 4TH ST,,39.979403,-82.998052,,,,,,0,1124861.030236659,380042.00241403375
191,4TH2NDN,1418,N 4TH ST & E 2ND AVE,,39.982598,-82.998669,,,,,,0,1124801.7793779266,380394.79098573036
192,4THDETN,1419,N 4TH ST & DETROIT AVE,,39.984476,-82.999031,,,,,,0,1124767.0118734303,380602.1599488022
193,4TH5THN,1420,N 4TH ST & E 5TH AVE,,39.987295,-82.999474,,,,,,0,1124723.422491677,380913.5915515764
194,4TH9THN,1423,N 4TH ST & E 9TH AVE,,39.993087,-82.999114,,,,,,0,1124742.6227525822,381555.44392258686
195,4THCHIN,1425,N 4TH ST & CHITTENDEN AVE,,39.995224,-82.998979,,,,,,0,1124749.8915908288,381792.26492424903
196,4TH15TN,1427,N 4TH ST & E 15TH AVE,,39.999446,-82.998671,,,,,,0,1124767.7843054966,382260.2109111701
197,4TH18TN,1428,N 4TH ST & E 18TH AVE,,40.002163,-82.998477,,,,,,0,1124778.9366895207,382561.3452394911
198,4THLANN,1430,N 4TH ST & E LANE AVE,,40.005627,-82.998235,,,,,,0,1124792.696234103,382945.26583226223
199,4THALDN,1432,4TH ST & ALDEN AVE,N 4TH ST & ALDEN AVE,40.008527,-82.99804,,,,,,0,1124803.5633133447,383266.66734406794
